Label Accuracy Recall
0 0.819672131147541 0.9891891891891892
1 0.5061728395061729 0.9204545454545454
2 1.0 0.9929577464788732
3 0.6476190476190476 0.967741935483871
4 0.9112903225806451 0.8211920529801324
5 0.9382716049382716 0.9310344827586207
6 0.9541984732824428 0.9703703703703703
7 1.0 1.0
8 0.9809523809523809 0.967741935483871
9 0.9888888888888889 0.994475138121547
10 0.8736263736263736 0.8878048780487805
11 0.95260663507109 0.9813953488372092
12 0.9455445544554455 0.9901960784313726
13 0.9389671361502347 0.9815668202764977
14 0.5517241379310345 0.9720670391061452
15 0.9846938775510204 0.98
16 1.0 1.0
17 0.9836956521739131 0.9945945945945946
18 0.9795918367346939 1.0
19 0.9259259259259259 1.0
20 0.8119266055045872 0.9688888888888889
21 0.27702702702702703 0.8757396449704142
22 0.9306930693069307 0.9950738916256158
23 1.0 1.0
24 0.8493975903614458 0.9940119760479041
25 0.9832402234636871 1.0
26 0.993421052631579 0.9681528662420382
27 0.8943661971830986 0.993006993006993
28 0.7241379310344828 0.9015544041450777
29 0.9863013698630136 1.0
30 0.9873417721518988 1.0
