Label Accuracy Recall
0 0.012345679012345678 0.7232142857142857
1 0.21428571428571427 0.9074074074074074
2 0.0 0.7870370370370371
3 0.0 0.6710526315789473
4 0.0 0.8522727272727273
5 0.27184466019417475 0.7573529411764706
6 0.07228915662650602 0.8829787234042553
7 0.7875 0.8888888888888888
8 0.22033898305084745 0.7468354430379747
9 0.0 0.7698412698412699
10 0.012195121951219513 0.6507936507936508
11 0.8947368421052632 0.9743589743589743
12 0.3380281690140845 0.797752808988764
13 0.0 0.75
14 0.2159090909090909 0.7927927927927928
15 0.7894736842105263 0.9223300970873787
16 0.18518518518518517 0.2903225806451613
17 0.0 0.14772727272727273
18 0.08 0.2777777777777778
19 0.42857142857142855 0.358974358974359
20 0.1 0.11235955056179775
21 0.18181818181818182 0.08943089430894309
22 0.0 0.3937007874015748
23 0.2608695652173913 0.23469387755102042
24 0.0 0.1875
25 0.3333333333333333 0.07563025210084033
26 0.65625 0.3333333333333333
27 0.13333333333333333 0.1282051282051282
28 0.14285714285714285 0.06481481481481481
29 0.08888888888888889 0.625
30 0.04 0.3472222222222222
