Label Accuracy Recall
0 0.6324324324324324 1.0
1 0.056818181818181816 1.0
2 0.5211267605633803 1.0
3 0.0 1.0
4 0.006622516556291391 1.0
5 0.13218390804597702 1.0
6 0.13333333333333333 1.0
7 0.0 1.0
8 0.09216589861751152 1.0
9 0.0 1.0
10 0.7609756097560976 1.0
11 0.046511627906976744 1.0
12 0.0 1.0
13 0.0 1.0
14 0.6424581005586593 1.0
15 0.0 1.0
16 0.0 1.0
17 0.2810810810810811 1.0
18 0.0 1.0
19 0.18518518518518517 1.0
20 0.0 1.0
21 0.727810650887574 1.0
22 0.0 1.0
23 0.0 1.0
24 0.0 1.0
25 0.0223463687150838 1.0
26 0.17834394904458598 1.0
27 0.0 1.0
28 0.0 1.0
29 0.0 1.0
30 0.0 1.0
