Label Accuracy Recall
0 0.9333333333333333 0.875
1 0.3283582089552239 0.2037037037037037
2 0.9537037037037037 0.9537037037037037
3 0.2753623188405797 0.25
4 0.9431818181818182 0.9431818181818182
5 1.0 0.9852941176470589
6 0.7894736842105263 0.6382978723404256
7 0.9036144578313253 0.8333333333333334
8 0.1794871794871795 0.17721518987341772
9 0.2079207920792079 0.16666666666666666
10 0.9516129032258065 0.9365079365079365
11 0.17105263157894737 0.16666666666666666
12 0.058823529411764705 0.033707865168539325
13 0.19444444444444445 0.175
14 1.0 0.9819819819819819
15 0.0125 0.009708737864077669
16 0.0 0.0
17 0.05263157894736842 0.045454545454545456
18 0.10843373493975904 0.1
19 0.7222222222222222 0.6666666666666666
20 0.017857142857142856 0.011235955056179775
21 0.8495575221238938 0.7804878048780488
22 0.017699115044247787 0.015748031496062992
23 0.09210526315789473 0.07142857142857142
24 0.2702702702702703 0.17857142857142858
25 0.08571428571428572 0.07563025210084033
26 1.0 0.9895833333333334
27 0.8532110091743119 0.7948717948717948
28 0.16666666666666666 0.1388888888888889
29 0.47058823529411764 0.4444444444444444
30 0.11764705882352941 0.05555555555555555
