Label Accuracy Recall
0 0.9024390243902439 0.7321428571428571
1 0.4939759036144578 0.7685185185185185
2 0.9901960784313726 0.9444444444444444
3 0.6 0.32894736842105265
4 0.9375 0.7272727272727273
5 0.379746835443038 0.5808823529411765
6 0.9571428571428572 0.7446808510638298
7 0.4727272727272727 0.6111111111111112
8 0.8421052631578947 0.4810126582278481
9 0.2535211267605634 0.5634920634920635
10 0.7383177570093458 0.8492063492063492
11 0.6458333333333334 0.6153846153846154
12 0.2361111111111111 0.8089887640449438
13 0.8939393939393939 0.825
14 0.9907407407407407 0.972972972972973
15 0.23595505617977527 0.8640776699029126
16 0.11940298507462686 0.7204301075268817
17 0.7384615384615385 0.7386363636363636
18 0.5245901639344263 0.6777777777777778
19 0.5614035087719298 0.7307692307692307
20 0.0784313725490196 0.5730337078651685
21 0.2962962962962963 0.43902439024390244
22 0.30120481927710846 0.6535433070866141
23 0.08333333333333333 0.4897959183673469
24 0.75 0.4642857142857143
25 0.06578947368421052 0.6386554621848739
26 0.4025974025974026 0.8020833333333334
27 0.8488372093023255 0.7350427350427351
28 0.5070422535211268 0.6574074074074074
29 0.10144927536231885 0.9583333333333334
30 0.09523809523809523 0.875
