Label Accuracy Recall
0 0.819672131147541 0.8108108108108109
1 0.5061728395061729 0.4659090909090909
2 1.0 0.9929577464788732
3 0.6476190476190476 0.6267281105990783
4 0.9112903225806451 0.7483443708609272
5 0.9382716049382716 0.8735632183908046
6 0.9541984732824428 0.9259259259259259
7 1.0 1.0
8 0.9809523809523809 0.9493087557603687
9 0.9888888888888889 0.9834254143646409
10 0.8736263736263736 0.775609756097561
11 0.95260663507109 0.9348837209302325
12 0.9455445544554455 0.9362745098039216
13 0.9389671361502347 0.9216589861751152
14 0.5517241379310345 0.5363128491620112
15 0.9846938775510204 0.965
16 1.0 1.0
17 0.9836956521739131 0.9783783783783784
18 0.9795918367346939 0.9795918367346939
19 0.9259259259259259 0.9259259259259259
20 0.8119266055045872 0.7866666666666666
21 0.27702702702702703 0.24260355029585798
22 0.9306930693069307 0.9261083743842364
23 1.0 1.0
24 0.8493975903614458 0.844311377245509
25 0.9832402234636871 0.9832402234636871
26 0.993421052631579 0.9617834394904459
27 0.8943661971830986 0.8881118881118881
28 0.7241379310344828 0.6528497409326425
29 0.9863013698630136 0.9863013698630136
30 0.9873417721518988 0.9873417721518988
