Label Accuracy Recall
0 0.9333333333333333 0.9375
1 0.3283582089552239 0.6203703703703703
2 0.9537037037037037 1.0
3 0.2753623188405797 0.9078947368421053
4 0.9431818181818182 1.0
5 1.0 0.9852941176470589
6 0.7894736842105263 0.8085106382978723
7 0.9036144578313253 0.9222222222222223
8 0.1794871794871795 0.9873417721518988
9 0.2079207920792079 0.8015873015873016
10 0.9516129032258065 0.9841269841269841
11 0.17105263157894737 0.9743589743589743
12 0.058823529411764705 0.5730337078651685
13 0.19444444444444445 0.9
14 1.0 0.9819819819819819
15 0.0125 0.7766990291262136
16 0.0 0.7526881720430108
17 0.05263157894736842 0.8636363636363636
18 0.10843373493975904 0.9222222222222223
19 0.7222222222222222 0.9230769230769231
20 0.017857142857142856 0.6292134831460674
21 0.8495575221238938 0.9186991869918699
22 0.017699115044247787 0.889763779527559
23 0.09210526315789473 0.7755102040816326
24 0.2702702702702703 0.6607142857142857
25 0.08571428571428572 0.8823529411764706
26 1.0 0.9895833333333334
27 0.8532110091743119 0.9316239316239316
28 0.16666666666666666 0.8333333333333334
29 0.47058823529411764 0.9444444444444444
30 0.11764705882352941 0.4722222222222222
