Label Accuracy Recall
0 0.9367088607594937 0.8
1 0.8313953488372093 0.8125
2 1.0 0.9929577464788732
3 0.6363636363636364 0.4838709677419355
4 0.9454545454545454 0.6887417218543046
5 0.8125 0.7471264367816092
6 0.968 0.8962962962962963
7 0.990521327014218 0.990521327014218
8 0.8737373737373737 0.7972350230414746
9 0.994475138121547 0.994475138121547
10 0.98989898989899 0.9560975609756097
11 0.9953488372093023 0.9953488372093023
12 0.9852941176470589 0.9852941176470589
13 0.9362745098039216 0.880184331797235
14 0.9606741573033708 0.9553072625698324
15 0.9045226130653267 0.9
16 0.981651376146789 0.981651376146789
17 0.9945945945945946 0.9945945945945946
18 0.9743589743589743 0.9693877551020408
19 0.9296482412060302 0.8564814814814815
20 0.9066666666666666 0.9066666666666666
21 0.9763313609467456 0.9763313609467456
22 0.9901477832512315 0.9901477832512315
23 1.0 1.0
24 0.9520958083832335 0.9520958083832335
25 0.9709302325581395 0.9329608938547486
26 1.0 1.0
27 0.9858156028368794 0.972027972027972
28 1.0 0.9948186528497409
29 0.8873239436619719 0.863013698630137
30 0.9661016949152542 0.9620253164556962
