Label Accuracy Recall
0 0.75 0.057692307692307696
1 0.5714285714285714 0.09876543209876543
2 0.9069767441860465 0.43575418994413406
3 0.7169811320754716 0.21839080459770116
4 0.9508196721311475 0.31521739130434784
5 0.4838709677419355 0.08287292817679558
6 0.8526315789473684 0.4550561797752809
7 0.6363636363636364 0.27876106194690264
8 0.44 0.2185430463576159
9 0.6022727272727273 0.15588235294117647
10 0.8541666666666666 0.25625
11 0.5 0.04712041884816754
12 0.25396825396825395 0.07032967032967033
13 0.9626168224299065 0.4858490566037736
14 0.5416666666666666 0.2867647058823529
15 0.47297297297297297 0.17543859649122806
16 0.48936170212765956 0.0954356846473029
17 0.9797979797979798 0.5105263157894737
18 0.6947368421052632 0.20754716981132076
19 0.6585365853658537 0.14835164835164835
20 0.175 0.03535353535353535
21 0.025 0.0111731843575419
22 0.17543859649122806 0.06734006734006734
23 0.5833333333333334 0.09051724137931035
24 0.7009345794392523 0.38461538461538464
25 0.8108108108108109 0.1694915254237288
26 0.0 0.0
27 0.7666666666666667 0.32242990654205606
28 0.14705882352941177 0.02564102564102564
29 0.08620689655172414 0.023696682464454975
30 0.8888888888888888 0.449438202247191
0 0.75 0.057692307692307696
1 0.5714285714285714 0.09876543209876543
2 0.9069767441860465 0.43575418994413406
3 0.7169811320754716 0.21839080459770116
4 0.9508196721311475 0.31521739130434784
5 0.4838709677419355 0.08287292817679558
6 0.8526315789473684 0.4550561797752809
7 0.6363636363636364 0.27876106194690264
8 0.44 0.2185430463576159
9 0.6022727272727273 0.15588235294117647
10 0.8541666666666666 0.25625
11 0.5 0.04712041884816754
12 0.25396825396825395 0.07032967032967033
13 0.9626168224299065 0.4858490566037736
14 0.5416666666666666 0.2867647058823529
15 0.47297297297297297 0.17543859649122806
16 0.48936170212765956 0.0954356846473029
17 0.9797979797979798 0.5105263157894737
18 0.6947368421052632 0.20754716981132076
19 0.6585365853658537 0.14835164835164835
20 0.175 0.03535353535353535
21 0.025 0.0111731843575419
22 0.17543859649122806 0.06734006734006734
23 0.5833333333333334 0.09051724137931035
24 0.7009345794392523 0.38461538461538464
25 0.8108108108108109 0.1694915254237288
26 0.0 0.0
27 0.7666666666666667 0.32242990654205606
28 0.14705882352941177 0.02564102564102564
29 0.08620689655172414 0.023696682464454975
30 0.8888888888888888 0.449438202247191
