Label Accuracy Recall
0 0.0 0.375
1 0.03333333333333333 0.5555555555555556
2 0.0 0.37037037037037035
3 0.0851063829787234 0.618421052631579
4 0.0 0.42045454545454547
5 0.45 0.29411764705882354
6 0.375 0.2553191489361702
7 0.9402985074626866 0.7444444444444445
8 0.025 0.5063291139240507
9 0.0 0.2222222222222222
10 0.0 0.6111111111111112
11 0.0 0.6666666666666666
12 0.16666666666666666 0.6741573033707865
13 0.0 0.5875
14 0.0 0.43243243243243246
15 0.7068965517241379 0.5631067961165048
16 0.125 0.25806451612903225
17 0.9473684210526315 0.2159090909090909
18 0.0 0.18888888888888888
19 0.0 0.7564102564102564
20 0.0 0.15730337078651685
21 0.0 0.12195121951219512
22 0.0 0.49606299212598426
23 0.8409090909090909 0.4489795918367347
24 0.0 0.15178571428571427
25 0.35 0.16806722689075632
26 0.0 0.3020833333333333
27 0.0 0.2905982905982906
28 0.0 0.05555555555555555
29 0.0 0.5277777777777778
30 0.0 0.6527777777777778
