Label Accuracy Recall
0 0.9024390243902439 0.6607142857142857
1 0.4939759036144578 0.37962962962962965
2 0.9901960784313726 0.9351851851851852
3 0.6 0.19736842105263158
4 0.9375 0.6818181818181818
5 0.379746835443038 0.22058823529411764
6 0.9571428571428572 0.7127659574468085
7 0.4727272727272727 0.28888888888888886
8 0.8421052631578947 0.4050632911392405
9 0.2535211267605634 0.14285714285714285
10 0.7383177570093458 0.626984126984127
11 0.6458333333333334 0.3974358974358974
12 0.2361111111111111 0.19101123595505617
13 0.8939393939393939 0.7375
14 0.9907407407407407 0.963963963963964
15 0.23595505617977527 0.20388349514563106
16 0.11940298507462686 0.08602150537634409
17 0.7384615384615385 0.5454545454545454
18 0.5245901639344263 0.35555555555555557
19 0.5614035087719298 0.41025641025641024
20 0.0784313725490196 0.0449438202247191
21 0.2962962962962963 0.13008130081300814
22 0.30120481927710846 0.1968503937007874
23 0.08333333333333333 0.04081632653061224
24 0.75 0.3482142857142857
25 0.06578947368421052 0.04201680672268908
26 0.4025974025974026 0.3229166666666667
27 0.8488372093023255 0.6239316239316239
28 0.5070422535211268 0.3333333333333333
29 0.10144927536231885 0.09722222222222222
30 0.09523809523809523 0.08333333333333333
